,Year,Total Deaths,Total Injuries,Total Damage ($Mil),count,Total Deaths and Injuries
0,1990.0,82966.0,226076.0,16122.050000000001,60,309042.0
1,1991.0,4353.0,5135.0,2857.2,50,9488.0
2,1992.0,6657.0,15055.0,2704.0,36,21712.0
3,1993.0,11573.0,30970.0,3612.9,34,42543.0
4,1994.0,2027.0,20011.0,80709.976,52,22038.0
5,1995.0,15531.0,79851.0,202749.82200000001,49,95382.0
6,1996.0,795.0,19830.0,547.8000000000001,35,20625.0
7,1997.0,3314.0,10013.0,5034.3,44,13327.0
8,1998.0,10749.0,18236.0,1410.1,37,28985.0
9,1999.0,39084.0,123435.0,61610.279,39,162519.0
10,2000.0,273.0,6547.0,415.41999999999996,48,6820.0
11,2001.0,22233.0,186904.0,7413.5,30,209137.0
12,2002.0,2721.0,5090.0,1655.4279999999999,70,7811.0
13,2003.0,36124.0,60660.0,11282.3,82,96784.0
14,2004.0,456725.0,7748.0,48757.0,89,464473.0
15,2005.0,79518.0,158044.0,6680.0,68,237562.0
16,2006.0,7485.0,41507.0,3372.0,72,48992.0
17,2007.0,1341.0,6550.0,12812.0,86,7891.0
